episode,reward,sim_reward,epsilon,buffer,loss,steps,collisions,checkpoints,laps,truncated,race_finished,best_score,global_step
124,138.980236,138.980286,0.050000,100000,0.011648,2000,0,16,3,1,0,397.451675,248000
125,126.023979,126.024170,0.050000,100000,0.011597,2000,0,15,3,1,0,397.451675,250000
126,149.189181,149.189301,0.050000,100000,0.011918,2000,0,17,3,1,0,397.451675,252000
127,143.979803,143.979767,0.050000,100000,0.010793,2000,0,17,3,1,0,397.451675,254000
128,-87.915089,-87.915062,0.050000,100000,0.011458,2000,0,5,1,1,0,397.451675,256000
129,-84.404915,-84.404930,0.050000,100000,0.009306,2000,0,5,1,1,0,397.451675,258000
130,142.677705,142.677719,0.050000,100000,0.009234,2000,0,16,3,1,0,397.451675,260000
131,145.448680,145.448669,0.050000,100000,0.009499,2000,0,17,3,1,0,397.451675,262000
132,151.649344,151.649323,0.050000,100000,0.010093,2000,0,17,3,1,0,397.451675,264000
133,155.752564,155.752670,0.050000,100000,0.008787,2000,0,17,3,1,0,397.451675,266000
134,159.157551,159.157532,0.050000,100000,0.010157,2000,0,18,3,1,0,399.157532,268000
135,30.699955,30.700596,0.050000,100000,0.010862,2000,0,11,2,1,0,399.157532,270000
136,58.348534,58.349525,0.050000,100000,0.009973,2000,0,12,2,1,0,399.157532,272000
137,-81.918226,-81.918221,0.050000,100000,0.010345,2000,0,5,1,1,0,399.157532,274000
138,157.646253,157.646164,0.050000,100000,0.009591,2000,0,18,3,1,0,399.157532,276000
139,-77.183624,-77.183846,0.050000,100000,0.008917,2000,0,5,1,1,0,399.157532,278000
140,-56.334454,-56.334927,0.050000,100000,0.009384,2000,0,5,1,1,0,399.157532,280000
141,45.043273,45.044189,0.050000,100000,0.009853,2000,0,12,2,1,0,399.157532,282000
142,48.618788,48.619846,0.050000,100000,0.009810,2000,0,12,2,1,0,399.157532,284000
143,161.858032,161.858017,0.050000,100000,0.010905,2000,0,18,3,1,0,401.858017,286000
144,105.854364,105.854416,0.050000,100000,0.009597,2000,0,11,2,1,0,401.858017,288000
145,140.339112,140.339142,0.050000,100000,0.009986,2000,0,16,3,1,0,401.858017,290000
146,163.080200,163.080200,0.050000,100000,0.010184,2000,0,18,3,1,0,403.080200,292000
147,159.181952,159.182068,0.050000,100000,0.009828,2000,0,18,3,1,0,403.080200,294000
148,149.466786,149.466751,0.050000,100000,0.010503,2000,0,17,3,1,0,403.080200,296000
149,161.246229,161.246460,0.050000,100000,0.010610,2000,0,18,3,1,0,403.080200,298000
150,-35.813215,-35.813515,0.050000,100000,0.009898,2000,0,6,1,1,0,403.080200,300000
151,159.746375,159.746231,0.050000,100000,0.009082,2000,0,18,3,1,0,403.080200,302000
152,149.545553,149.545486,0.050000,100000,0.011073,2000,0,17,3,1,0,403.080200,304000
153,-92.797647,-92.797203,0.050000,100000,0.009702,2000,122,12,2,1,0,403.080200,306000
154,-87.133982,-87.133957,0.050000,100000,0.010541,2000,0,5,1,1,0,403.080200,308000
155,96.488829,96.488876,0.050000,100000,0.010332,2000,0,12,2,1,0,403.080200,310000
156,164.022841,164.022644,0.050000,100000,0.010777,2000,0,18,3,1,0,404.022644,312000
157,158.816934,158.816879,0.050000,100000,0.010840,2000,0,18,3,1,0,404.022644,314000
158,161.635702,161.635727,0.050000,100000,0.010492,2000,0,18,3,1,0,404.022644,316000
159,14.700944,14.700747,0.050000,100000,0.010101,2000,0,5,1,1,0,404.022644,318000
160,92.634285,92.634415,0.050000,100000,0.010880,2000,0,12,2,1,0,404.022644,320000
161,163.907349,163.907318,0.050000,100000,0.011488,2000,0,18,3,1,0,404.022644,322000
162,148.792829,148.792999,0.050000,100000,0.011949,2000,0,17,3,1,0,404.022644,324000
163,161.138379,161.138275,0.050000,100000,0.012255,2000,0,18,3,1,0,404.022644,326000
164,158.936925,158.937012,0.050000,100000,0.009980,2000,0,18,3,1,0,404.022644,328000
165,157.562211,157.562302,0.050000,100000,0.011865,2000,0,18,3,1,0,404.022644,330000
166,156.667649,156.667770,0.050000,100000,0.011987,2000,0,18,3,1,0,404.022644,332000
167,-99.039195,-99.038673,0.050000,100000,0.011195,2000,126,12,2,1,0,404.022644,334000
168,156.016292,156.016418,0.050000,100000,0.011756,2000,0,18,3,1,0,404.022644,336000
169,157.401247,157.401474,0.050000,100000,0.011188,2000,0,18,3,1,0,404.022644,338000
170,34.938637,34.938522,0.050000,100000,0.011170,2000,0,11,2,1,0,404.022644,340000
171,154.426276,154.426178,0.050000,100000,0.012422,2000,0,18,3,1,0,404.022644,342000
172,162.730972,162.731094,0.050000,100000,0.011550,2000,0,18,3,1,0,404.022644,344000
173,171.947821,171.947754,0.050000,100000,0.012823,2000,0,19,3,1,0,416.947754,346000
174,155.268239,155.268143,0.050000,100000,0.011152,2000,0,18,3,1,0,416.947754,348000
175,156.777532,156.777512,0.050000,100000,0.012479,2000,0,18,3,1,0,416.947754,350000
176,157.145982,157.146027,0.050000,100000,0.012103,2000,0,18,3,1,0,416.947754,352000
177,161.912568,161.912537,0.050000,100000,0.012188,2000,0,18,3,1,0,416.947754,354000
178,156.610982,156.611160,0.050000,100000,0.012402,2000,0,18,3,1,0,416.947754,356000
179,161.260994,161.260895,0.050000,100000,0.012494,2000,0,18,3,1,0,416.947754,358000
180,158.650073,158.649994,0.050000,100000,0.011313,2000,0,18,3,1,0,416.947754,360000
181,54.532900,54.533459,0.050000,100000,0.012251,2000,0,10,2,1,0,416.947754,362000
182,13.565843,13.565643,0.050000,100000,0.011093,2000,95,16,3,1,0,416.947754,364000
183,-170.352332,-170.353943,0.050000,100000,0.012256,2000,98,3,1,1,0,416.947754,366000
184,161.457746,161.457916,0.050000,100000,0.012350,2000,0,18,3,1,0,416.947754,368000
185,162.389926,162.389938,0.050000,100000,0.011453,2000,0,18,3,1,0,416.947754,370000
186,158.135906,158.135910,0.050000,100000,0.011165,2000,0,18,3,1,0,416.947754,372000
187,159.023131,159.023087,0.050000,100000,0.011757,2000,0,18,3,1,0,416.947754,374000
188,169.128954,169.129166,0.050000,100000,0.012072,2000,0,19,3,1,0,416.947754,376000
189,159.545885,159.545990,0.050000,100000,0.011193,2000,0,18,3,1,0,416.947754,378000
190,154.259985,154.260025,0.050000,100000,0.010250,2000,0,18,3,1,0,416.947754,380000
191,94.690812,94.690849,0.050000,100000,0.012138,2000,0,12,2,1,0,416.947754,382000
192,60.540104,60.541229,0.050000,100000,0.011125,2000,0,13,2,1,0,416.947754,384000
193,161.012435,161.012405,0.050000,100000,0.011583,2000,0,18,3,1,0,416.947754,386000
194,163.036935,163.037064,0.050000,100000,0.011594,2000,0,18,3,1,0,416.947754,388000
195,99.420395,99.420357,0.050000,100000,0.011843,2000,0,11,2,1,0,416.947754,390000
196,165.105873,165.105759,0.050000,100000,0.011268,2000,0,18,3,1,0,416.947754,392000
197,170.663669,170.663727,0.050000,100000,0.010957,2000,0,19,3,1,0,416.947754,394000
198,153.816629,153.816650,0.050000,100000,0.011909,2000,0,18,3,1,0,416.947754,396000
199,166.386055,166.386261,0.050000,100000,0.011320,2000,0,19,3,1,0,416.947754,398000
200,166.385698,166.385498,0.050000,100000,0.011184,2000,0,18,3,1,0,416.947754,400000
201,151.830105,151.829987,0.050000,100000,0.010360,2000,0,17,3,1,0,416.947754,402000
202,158.352080,158.352142,0.050000,100000,0.012705,2000,0,18,3,1,0,416.947754,404000
203,4.360294,4.360247,0.050000,100000,0.011434,2000,0,7,1,1,0,416.947754,406000
204,161.138980,161.139084,0.050000,100000,0.010993,2000,0,18,3,1,0,416.947754,408000
205,46.122376,46.123512,0.050000,100000,0.010541,2000,0,12,2,1,0,416.947754,410000
206,164.690607,164.690781,0.050000,100000,0.010038,2000,0,19,3,1,0,416.947754,412000
207,48.426013,48.426975,0.050000,100000,0.011763,2000,1,12,2,1,0,416.947754,414000
208,36.560086,36.560165,0.050000,100000,0.010595,2000,0,5,1,1,0,416.947754,416000
209,-46.246883,-46.247173,0.050000,100000,0.011515,2000,0,5,1,1,0,416.947754,418000
210,22.442396,22.442890,0.050000,100000,0.012425,2000,0,11,2,1,0,416.947754,420000
211,-88.682779,-88.682625,0.050000,100000,0.012261,2000,0,5,1,1,0,416.947754,422000
212,152.822542,152.822647,0.050000,100000,0.010903,2000,0,17,3,1,0,416.947754,424000
213,60.246286,60.247086,0.050000,100000,0.012101,2000,0,12,2,1,0,416.947754,426000
214,170.685776,170.685669,0.050000,100000,0.011313,2000,0,19,3,1,0,416.947754,428000
215,141.162102,141.162003,0.050000,100000,0.011523,2000,0,17,3,1,0,416.947754,430000
216,157.680279,157.680191,0.050000,100000,0.012362,2000,0,18,3,1,0,416.947754,432000
217,91.189397,91.189430,0.050000,100000,0.012150,2000,0,12,2,1,0,416.947754,434000
218,172.595367,172.595459,0.050000,100000,0.012405,2000,0,19,3,1,0,417.595459,436000
219,79.947820,79.947876,0.050000,100000,0.011905,2000,0,12,2,1,0,417.595459,438000
220,130.863082,130.863159,0.050000,100000,0.012398,2000,0,16,3,1,0,417.595459,440000
221,53.341359,53.341469,0.050000,100000,0.013274,2000,0,12,2,1,0,417.595459,442000
222,155.879802,155.879730,0.050000,100000,0.012353,2000,0,18,3,1,0,417.595459,444000
223,152.314925,152.315277,0.050000,100000,0.014639,2000,0,18,3,1,0,417.595459,446000
224,163.714189,163.714218,0.050000,100000,0.012513,2000,0,18,3,1,0,417.595459,448000
225,168.968296,168.968323,0.050000,100000,0.014508,2000,0,19,3,1,0,417.595459,450000
226,163.711207,163.711182,0.050000,100000,0.013577,2000,0,18,3,1,0,417.595459,452000
227,158.439051,158.439102,0.050000,100000,0.013146,2000,0,18,3,1,0,417.595459,454000
228,160.685232,160.685135,0.050000,100000,0.013085,2000,0,18,3,1,0,417.595459,456000
229,157.278084,157.278091,0.050000,100000,0.013988,2000,0,18,3,1,0,417.595459,458000
230,161.139715,161.139771,0.050000,100000,0.011772,2000,0,18,3,1,0,417.595459,460000
231,-53.702491,-53.702923,0.050000,100000,0.012787,2000,0,6,1,1,0,417.595459,462000
232,171.884244,171.884354,0.050000,100000,0.014634,2000,0,19,3,1,0,417.595459,464000
233,163.933725,163.933731,0.050000,100000,0.014202,2000,0,19,3,1,0,417.595459,466000
234,162.665730,162.665695,0.050000,100000,0.012829,2000,0,18,3,1,0,417.595459,468000
235,164.511966,164.511856,0.050000,100000,0.012597,2000,0,18,3,1,0,417.595459,470000
236,158.288220,158.288315,0.050000,100000,0.011516,2000,0,18,3,1,0,417.595459,472000
237,162.430953,162.431122,0.050000,100000,0.013940,2000,0,18,3,1,0,417.595459,474000
238,151.468718,151.468719,0.050000,100000,0.012759,2000,0,17,3,1,0,417.595459,476000
239,166.006706,166.006714,0.050000,100000,0.013341,2000,0,19,3,1,0,417.595459,478000
240,158.921601,158.921616,0.050000,100000,0.013887,2000,0,18,3,1,0,417.595459,480000
241,172.742592,172.742508,0.050000,100000,0.012742,2000,0,19,3,1,0,417.742508,482000
242,164.858475,164.858353,0.050000,100000,0.012888,2000,0,19,3,1,0,417.742508,484000
243,87.636621,87.636681,0.050000,100000,0.013225,2000,0,9,2,1,0,417.742508,486000
244,164.457067,164.456940,0.050000,100000,0.013338,2000,0,19,3,1,0,417.742508,488000
245,169.113041,169.112976,0.050000,100000,0.013732,2000,0,19,3,1,0,417.742508,490000
246,172.227366,172.227448,0.050000,100000,0.012926,2000,0,19,3,1,0,417.742508,492000
247,169.508033,169.508026,0.050000,100000,0.011922,2000,0,19,3,1,0,417.742508,494000
248,166.943562,166.943680,0.050000,100000,0.014645,2000,0,19,3,1,0,417.742508,496000
249,177.773115,177.773209,0.050000,100000,0.013830,2000,0,19,3,1,0,422.773209,498000
250,175.144054,175.144150,0.050000,100000,0.013424,2000,0,20,3,1,0,425.144150,500000
251,167.757469,167.757599,0.050000,100000,0.013986,2000,0,19,3,1,0,425.144150,502000
252,172.529365,172.529541,0.050000,100000,0.013072,2000,0,19,3,1,0,425.144150,504000
253,-107.396713,-107.396263,0.050000,100000,0.013042,2000,0,4,1,1,0,425.144150,506000
254,82.926745,82.927887,0.050000,100000,0.014069,2000,0,14,2,1,0,425.144150,508000
255,85.025753,85.026825,0.050000,100000,0.015820,2000,0,14,2,1,0,425.144150,510000
256,84.083769,84.084755,0.050000,100000,0.015528,2000,0,14,2,1,0,425.144150,512000
257,10.165233,10.165081,0.050000,100000,0.016183,2000,0,10,2,1,0,425.144150,514000
258,56.438576,56.438507,0.050000,100000,0.015447,2000,0,8,2,1,0,425.144150,516000
259,95.563362,95.563286,0.050000,100000,0.016098,2000,0,12,2,1,0,425.144150,518000
260,104.894165,104.894073,0.050000,100000,0.014337,2000,0,13,2,1,0,425.144150,520000
261,-39.359985,-39.360268,0.050000,100000,0.016593,2000,0,0,0,1,0,425.144150,522000
262,133.524265,133.524368,0.050000,100000,0.015967,2000,0,15,3,1,0,425.144150,524000
263,96.382309,96.382286,0.050000,100000,0.017670,2000,0,13,2,1,0,425.144150,526000
264,-34.806095,-34.806328,0.050000,100000,0.018614,2000,0,1,1,1,0,425.144150,528000
265,110.659172,110.659088,0.050000,100000,0.017715,2000,0,14,2,1,0,425.144150,530000
266,129.433888,129.433868,0.050000,100000,0.021439,2000,0,15,3,1,0,425.144150,532000
267,-70.743064,-70.743179,0.050000,100000,0.020135,2000,0,5,1,1,0,425.144150,534000
268,134.261188,134.261124,0.050000,100000,0.017335,2000,0,15,3,1,0,425.144150,536000
269,-137.097540,-137.097290,0.050000,100000,0.019984,2000,0,3,1,1,0,425.144150,538000
270,112.684742,112.684875,0.050000,100000,0.020763,2000,0,14,2,1,0,425.144150,540000
271,152.506796,152.506699,0.050000,100000,0.019312,2000,0,17,3,1,0,425.144150,542000
272,152.853491,152.853439,0.050000,100000,0.019150,2000,0,17,3,1,0,425.144150,544000
273,83.679529,83.679573,0.050000,100000,0.018922,2000,0,11,2,1,0,425.144150,546000
274,161.645323,161.645630,0.050000,100000,0.018817,2000,0,18,3,1,0,425.144150,548000
275,149.867340,149.867233,0.050000,100000,0.017344,2000,0,17,3,1,0,425.144150,550000
276,-70.486210,-70.486595,0.050000,100000,0.017431,2000,0,5,1,1,0,425.144150,552000
277,156.498849,156.498993,0.050000,100000,0.017937,2000,0,17,3,1,0,425.144150,554000
278,53.727239,53.728313,0.050000,100000,0.016389,2000,0,12,2,1,0,425.144150,556000
279,153.561084,153.561203,0.050000,100000,0.017915,2000,0,18,3,1,0,425.144150,558000
280,164.346112,164.346268,0.050000,100000,0.017179,2000,0,18,3,1,0,425.144150,560000
281,170.990481,170.990433,0.050000,100000,0.017889,2000,0,19,3,1,0,425.144150,562000
282,10.797105,10.796942,0.050000,100000,0.018542,2000,0,5,1,1,0,425.144150,564000
283,37.396221,37.396091,0.050000,100000,0.016884,2000,0,9,2,1,0,425.144150,566000
284,163.188454,163.188614,0.050000,100000,0.016014,2000,0,18,3,1,0,425.144150,568000
285,108.312301,108.312378,0.050000,100000,0.018038,2000,0,14,2,1,0,425.144150,570000
286,166.277390,166.277390,0.050000,100000,0.017667,2000,0,18,3,1,0,425.144150,572000
287,176.565513,176.565674,0.050000,100000,0.015984,2000,0,19,3,1,0,425.144150,574000
288,-56.289912,-56.290413,0.050000,100000,0.017288,2000,1,7,1,1,0,425.144150,576000
289,154.085962,154.086273,0.050000,100000,0.016007,2000,0,18,3,1,0,425.144150,578000
290,70.105061,70.104996,0.050000,100000,0.016247,2000,0,12,2,1,0,425.144150,580000
291,151.626067,151.626160,0.050000,100000,0.016424,2000,0,18,3,1,0,425.144150,582000
292,161.486014,161.485901,0.050000,100000,0.017338,2000,0,18,3,1,0,425.144150,584000
293,166.086164,166.086319,0.050000,100000,0.015776,2000,0,19,3,1,0,425.144150,586000
