episode,reward,sim_reward,epsilon,buffer,loss,steps,collisions,checkpoints,laps,truncated,race_finished,best_score,global_step
162,-48.752400,-48.752445,0.050000,100000,0.034114,2000,0,1,1,1,0,138.755325,324000
163,-63.529481,-63.529850,0.050000,100000,0.034087,2000,0,1,1,1,0,138.755325,326000
164,-1.669243,-1.669337,0.050000,100000,0.033949,2000,0,3,1,1,0,138.755325,328000
165,-16.564145,-16.564222,0.050000,100000,0.032801,2000,0,1,1,1,0,138.755325,330000
166,-26.690766,-26.690920,0.050000,100000,0.028622,2000,0,1,1,1,0,138.755325,332000
167,-24.686546,-24.686653,0.050000,100000,0.030875,2000,0,1,1,1,0,138.755325,334000
168,-15.260751,-15.260823,0.050000,100000,0.028324,2000,0,1,1,1,0,138.755325,336000
169,-46.379792,-46.380096,0.050000,100000,0.027751,2000,0,3,1,1,0,138.755325,338000
170,-27.711260,-27.711390,0.050000,100000,0.027040,2000,0,1,1,1,0,138.755325,340000
171,0.389487,0.389471,0.050000,100000,0.026298,2000,0,3,1,1,0,138.755325,342000
172,-154.519442,-154.519318,0.050000,100000,0.024740,2000,0,1,1,1,0,138.755325,344000
173,-103.077767,-103.077133,0.050000,100000,0.025623,2000,0,2,1,1,0,138.755325,346000
174,-58.963338,-58.963768,0.050000,100000,0.027859,2000,0,3,1,1,0,138.755325,348000
175,0.449582,0.449562,0.050000,100000,0.028885,2000,0,3,1,1,0,138.755325,350000
176,-7.261633,-7.261673,0.050000,100000,0.028413,2000,0,5,1,1,0,138.755325,352000
177,-38.352869,-38.352982,0.050000,100000,0.029288,2000,0,3,1,1,0,138.755325,354000
178,-10.800347,-10.800350,0.050000,100000,0.027512,2000,0,1,1,1,0,138.755325,356000
179,-88.966701,-88.966415,0.050000,100000,0.030177,2000,0,4,1,1,0,138.755325,358000
180,-22.618374,-22.618393,0.050000,100000,0.034125,2000,0,1,1,1,0,138.755325,360000
181,-183.883981,-183.885605,0.050000,100000,0.033822,2000,0,0,0,1,0,138.755325,362000
182,-30.028690,-30.028805,0.050000,100000,0.038689,2000,0,1,1,1,0,138.755325,364000
183,-192.062738,-192.063095,0.050000,100000,0.038396,2000,35,1,1,1,0,138.755325,366000
184,-14.942599,-14.942746,0.050000,100000,0.043159,2000,0,1,1,1,0,138.755325,368000
185,-107.468305,-107.467827,0.050000,100000,0.041090,2000,14,2,1,1,0,138.755325,370000
186,-658.386022,-658.392944,0.050000,100000,0.047096,2000,454,2,1,1,0,138.755325,372000
187,-140.217501,-140.216873,0.050000,100000,0.048571,2000,0,0,0,1,0,138.755325,374000
188,-41.833829,-41.834110,0.050000,100000,0.054786,2000,0,1,1,1,0,138.755325,376000
189,-42.796694,-42.796726,0.050000,100000,0.052520,2000,0,1,1,1,0,138.755325,378000
190,-101.932961,-101.932892,0.050000,100000,0.060300,2000,0,1,1,1,0,138.755325,380000
191,-129.548616,-129.547226,0.050000,100000,0.060955,2000,0,1,1,1,0,138.755325,382000
